epoch,loss,val_loss
0,10273.900390625,3692.920654296875
1,8024.47265625,3435.60595703125
2,7149.93994140625,4310.15625
3,6404.47509765625,3664.906005859375
0,6687.36865234375,3193.714599609375
1,6412.1240234375,3194.88037109375
2,6363.01123046875,3194.17724609375
3,6296.96142578125,3169.6328125
4,6217.94384765625,3141.314697265625
5,6173.5,3147.7666015625
6,6130.720703125,3150.96923828125
7,6066.8564453125,3131.01416015625
8,6027.31689453125,3124.82763671875
9,5985.41650390625,3127.227783203125
10,5947.8095703125,3109.099609375
11,5899.38232421875,3114.309326171875
12,5863.75439453125,3123.50146484375
13,5808.9345703125,3135.517578125
14,5750.31884765625,3122.89599609375
15,5663.271484375,3078.142333984375
16,5584.9609375,3130.545654296875
17,5531.0830078125,3114.161376953125
18,5451.59423828125,3125.690185546875
19,5380.26904296875,3115.245849609375
20,5300.0673828125,3143.291015625
21,5247.58056640625,3141.9501953125
22,5187.435546875,3166.584716796875
23,5126.5302734375,3134.834228515625
24,5058.1552734375,3175.70458984375
25,4981.81689453125,3217.796142578125
26,4940.75341796875,3194.621337890625
27,4857.5341796875,3134.394775390625
0,5604.06689453125,3099.500732421875
1,5542.29345703125,3108.03369140625
2,5574.75341796875,3103.333984375
3,5577.5634765625,3107.473388671875
