epoch,loss,val_loss
0,4.147348880767822,2.61629056930542
1,3.366283893585205,2.118093490600586
2,3.095318078994751,2.148787260055542
3,2.854580879211426,2.1590425968170166
4,2.6917035579681396,1.9462463855743408
5,2.5779523849487305,4.666232585906982
6,2.466813564300537,1.9447957277297974
7,2.3981270790100098,2.106900930404663
0,2.3342528343200684,1.7776371240615845
1,2.29807710647583,1.7809202671051025
2,2.278066635131836,1.7825336456298828
3,2.2620277404785156,1.7846211194992065
4,2.2476234436035156,1.7894856929779053
5,2.2392289638519287,1.7928695678710938
6,2.230699300765991,1.7926558256149292
7,2.2273738384246826,1.7964777946472168
8,2.2213306427001953,1.7966794967651367
9,2.2150015830993652,1.7980624437332153
10,2.209324359893799,1.7975709438323975
11,2.203923463821411,1.7969955205917358
12,2.201479434967041,1.7991200685501099
13,2.1964051723480225,1.797101616859436
14,2.1922607421875,1.7954102754592896
15,2.187299966812134,1.7961405515670776
16,2.185019016265869,1.7918192148208618
17,2.1815929412841797,1.7953349351882935
18,2.177518129348755,1.7915971279144287
19,2.174593687057495,1.7918628454208374
20,2.1719377040863037,1.7870168685913086
21,2.169257402420044,1.7906291484832764
22,2.1658830642700195,1.789771556854248
23,2.1629765033721924,1.7872655391693115
24,2.1601407527923584,1.788632869720459
25,2.15742826461792,1.7828094959259033
26,2.1540260314941406,1.784302830696106
27,2.1525721549987793,1.787402868270874
28,2.1491036415100098,1.7878597974777222
29,2.146677017211914,1.7868562936782837
30,2.144042491912842,1.7841418981552124
31,2.1429171562194824,1.7827057838439941
32,2.140002965927124,1.780002474784851
33,2.1372005939483643,1.77925705909729
34,2.1352951526641846,1.7800368070602417
35,2.13177490234375,1.7811355590820312
36,2.129173517227173,1.780804991722107
37,2.127612590789795,1.7791986465454102
38,2.1252079010009766,1.7801681756973267
39,2.12349009513855,1.7799404859542847
40,2.1218228340148926,1.7828449010849
41,2.117572546005249,1.777355432510376
42,2.1161580085754395,1.7797300815582275
43,2.1157586574554443,1.7752655744552612
44,2.1130449771881104,1.7790398597717285
45,2.110283613204956,1.780524492263794
46,2.106815814971924,1.777854561805725
47,2.104956865310669,1.7819586992263794
0,2.1122424602508545,1.775941014289856
1,2.111367702484131,1.7774289846420288
2,2.11126971244812,1.776567816734314
3,2.1100471019744873,1.7767802476882935
4,2.107773780822754,1.7794359922409058
5,2.108163833618164,1.7798558473587036
6,2.106804370880127,1.7760236263275146
7,2.1113243103027344,1.777135968208313
