epoch,loss,val_loss
0,4.112099647521973,2.303166627883911
1,3.3602499961853027,2.253451347351074
2,3.0660219192504883,2.1098875999450684
3,2.85652232170105,1.9133198261260986
0,2.586071491241455,1.861815094947815
1,2.561398506164551,1.865259051322937
2,2.5455732345581055,1.8659709692001343
3,2.5350265502929688,1.8682208061218262
4,2.5280795097351074,1.8654780387878418
5,2.5201942920684814,1.864896297454834
6,2.5120489597320557,1.8666372299194336
7,2.508368730545044,1.8627771139144897
8,2.499084711074829,1.8629541397094727
9,2.4978561401367188,1.8761497735977173
10,2.490144968032837,1.8579379320144653
11,2.487252712249756,1.864258885383606
12,2.481861114501953,1.8568027019500732
13,2.4761245250701904,1.8516021966934204
14,2.4730734825134277,1.8563978672027588
15,2.468367099761963,1.8531118631362915
16,2.4645726680755615,1.8479282855987549
17,2.461148738861084,1.8529196977615356
18,2.4579453468322754,1.8508371114730835
19,2.4538543224334717,1.8475655317306519
20,2.450421094894409,1.8506673574447632
21,2.4468953609466553,1.849644660949707
22,2.444453477859497,1.8458971977233887
23,2.438735008239746,1.8453881740570068
24,2.4368646144866943,1.8483760356903076
25,2.433553457260132,1.8483961820602417
26,2.430004835128784,1.8409805297851562
27,2.4271223545074463,1.8434929847717285
0,2.42527437210083,1.8421508073806763
1,2.42604398727417,1.8436206579208374
2,2.4256231784820557,1.8416880369186401
3,2.424574375152588,1.8406630754470825
